,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,23.0,240.0,45.4,92.1,0.49,15.4,38.4,0.4,30.0,53.7,0.56,14.9,20.5,0.73,10.8,38.0,48.8,27.2,8.5,4.8,14.0,17.8,121.2,41.2,91.6,0.45,14.4,37.7,0.38,26.8,53.9,0.5,14.6,18.8,0.78,9.3,33.3,42.6,24.1,6.7,5.3,13.3,18.3,111.3,28.0,15.0,8.0,18.0,5.0,9.83,-0.95,8.88,118.9,109.2,9.7,101.9,0.22,0.42,0.6,0.58,12.2,24.5,0.16,0.53,11.8,Milwaukee Bucks
0,20.0,240.0,41.4,90.9,0.46,12.1,34.6,0.35,29.3,56.4,0.52,19.5,25.8,0.76,10.1,33.5,43.6,25.1,7.0,3.9,14.0,22.6,114.3,42.9,88.7,0.48,13.7,34.7,0.39,29.2,54.1,0.54,21.7,27.5,0.79,9.4,37.3,46.7,24.3,7.8,4.3,14.8,21.6,121.1,26.2,5.0,15.0,6.0,14.0,-6.8,-1.28,-8.08,110.1,116.7,-6.6,103.8,0.28,0.38,0.56,0.52,12.0,21.3,0.21,0.56,12.8,Washington Wizards
0,24.0,242.1,42.3,86.8,0.49,11.4,29.8,0.38,30.9,57.0,0.54,17.0,22.5,0.75,9.8,35.5,45.3,25.0,7.2,6.0,15.0,18.7,112.8,40.0,88.7,0.45,10.9,31.8,0.34,29.0,56.9,0.51,13.8,17.9,0.77,9.0,32.0,41.1,24.1,8.3,4.3,14.7,21.4,104.6,29.0,18.0,6.0,18.0,6.0,8.21,-0.12,8.09,113.1,104.8,8.3,98.9,0.26,0.34,0.58,0.55,13.4,23.4,0.2,0.51,13.2,Los Angeles Lakers
0,23.0,242.2,38.7,82.6,0.47,13.1,37.0,0.35,25.5,45.6,0.56,16.9,21.7,0.78,7.0,35.0,42.0,25.7,6.7,3.8,16.8,19.9,107.3,39.5,88.2,0.45,15.4,40.7,0.38,24.1,47.5,0.51,16.3,20.8,0.78,10.7,33.4,44.1,25.0,9.3,4.1,15.1,20.9,110.7,26.7,9.0,14.0,9.0,14.0,-3.43,-0.48,-3.91,107.6,111.1,-3.5,98.8,0.26,0.45,0.58,0.55,15.4,17.3,0.2,0.54,13.5,Miami Heat
0,24.0,240.0,40.7,87.9,0.46,17.0,42.1,0.4,23.8,45.8,0.52,15.9,20.9,0.76,11.5,38.0,49.5,23.8,5.8,5.8,14.6,18.6,114.3,40.3,92.0,0.44,11.0,31.6,0.35,29.3,60.4,0.48,14.0,18.2,0.77,10.1,32.2,42.3,22.5,7.6,4.5,11.2,19.2,105.7,28.5,19.0,5.0,18.0,6.0,8.54,0.03,8.57,116.3,107.6,8.7,98.2,0.24,0.48,0.59,0.56,13.1,26.3,0.18,0.5,10.0,Utah Jazz
0,25.0,244.0,43.8,88.0,0.5,14.8,37.0,0.4,29.0,51.0,0.57,19.1,23.3,0.82,8.4,36.3,44.8,26.8,6.3,5.9,15.4,20.0,121.5,43.8,95.0,0.46,12.7,35.2,0.36,31.1,59.8,0.52,18.0,22.6,0.79,10.8,32.9,43.8,24.9,8.2,4.2,12.5,19.9,118.2,28.2,14.0,11.0,15.0,10.0,3.24,-0.66,2.59,117.4,114.2,3.2,101.8,0.27,0.42,0.62,0.58,13.6,20.4,0.22,0.53,10.7,Brooklyn Nets
0,23.0,246.5,38.2,89.2,0.43,12.8,36.5,0.35,25.3,52.7,0.48,19.2,24.6,0.78,10.8,32.1,42.9,23.8,8.0,4.8,15.1,21.1,108.4,41.8,86.3,0.48,13.1,33.4,0.39,28.7,52.8,0.54,16.9,22.6,0.75,9.9,35.9,45.8,25.4,7.7,6.1,16.5,21.9,113.7,26.1,5.0,18.0,8.0,15.0,-5.26,2.33,-2.93,107.3,112.5,-5.2,98.3,0.28,0.41,0.54,0.5,13.1,23.1,0.22,0.56,14.6,Detroit Pistons
0,24.0,244.2,39.4,87.5,0.45,9.3,26.5,0.35,30.2,61.1,0.49,15.5,21.6,0.72,11.3,32.4,43.7,23.2,8.9,5.3,15.7,18.8,103.6,41.0,87.0,0.47,13.2,33.5,0.39,27.8,53.5,0.52,14.8,19.6,0.75,10.5,34.1,44.6,24.6,8.5,6.0,16.3,20.2,110.0,24.5,10.0,14.0,7.0,17.0,-6.38,0.78,-5.6,104.6,111.0,-6.4,97.4,0.25,0.3,0.53,0.5,13.9,24.8,0.18,0.55,14.5,Cleveland Cavaliers
0,23.0,242.2,39.4,88.0,0.45,12.5,34.9,0.36,26.9,53.1,0.51,21.2,25.8,0.82,11.3,35.7,47.1,24.5,6.5,5.0,14.8,20.3,112.6,40.7,90.9,0.45,11.2,34.1,0.33,29.5,56.8,0.52,18.6,22.7,0.82,11.0,33.5,44.5,23.3,8.3,5.7,12.7,21.2,111.1,24.4,11.0,12.0,13.0,10.0,1.48,0.38,1.86,112.5,111.1,1.4,99.1,0.29,0.4,0.57,0.52,13.0,25.3,0.24,0.51,11.2,Atlanta Hawks
0,24.0,241.0,41.6,87.0,0.48,10.8,30.0,0.36,30.8,57.0,0.54,20.1,26.1,0.77,10.3,35.3,45.5,23.5,9.1,6.4,16.0,20.3,114.1,39.9,89.4,0.45,12.7,34.3,0.37,27.2,55.1,0.49,17.7,23.1,0.77,10.4,32.7,43.0,24.4,7.6,4.4,15.5,21.7,110.1,26.7,17.0,7.0,15.0,9.0,3.96,-1.36,2.6,111.9,108.0,3.9,101.5,0.3,0.34,0.58,0.54,14.0,24.0,0.23,0.52,13.5,Philadelphia 76ers
