Away, Away_Score, Home, Home_Score
Denver Nuggets, 104, Detroit Pistons, 91
Utah Jazz, 109, Oklahoma City Thunder, 93
Orlando Magic, 97, Philadelphia 76ers, 122
Toronto Raptors, 110, Dallas Mavericks, 114
Los Angeles Clippers, 115, Houston Rockets, 122
Sacramento Kings, 106, Memphis Grizzlies, 107
New Orleans Pelicans, 122, Golden State Warriors, 125
Chicago Bulls, 91, Brooklyn Nets, 105
Los Angeles Lakers, 122, Indiana Pacers, 115
Charlotte Hornets, 109, New York Knicks, 118
Boston Celtics, 124, Minnesota Timberwolves, 108
Phoenix Suns, 140, San Antonio Spurs, 103
Miami Heat, 108, Milwaukee Bucks, 122
Boston Celtics, 92, New York Knicks, 96
Indiana Pacers, 125, Toronto Raptors, 113
Charlotte Hornets, 110, Washington Wizards, 115
Phoenix Suns, 123, San Antonio Spurs, 121
Memphis Grizzlies, 101, Golden State Warriors, 113
Houston Rockets, 95, Atlanta Hawks, 124
Cleveland Cavaliers, 109, Brooklyn Nets, 123
Orlando Magic, 117, Philadelphia 76ers, 128
Miami Heat, 120, Detroit Pistons, 107
Milwaukee Bucks, 112, Chicago Bulls, 118
Dallas Mavericks, 121, Minnesota Timberwolves, 136
Los Angeles Lakers, 110, New Orleans Pelicans, 98
Los Angeles Clippers, 112, Oklahoma City Thunder, 117
Denver Nuggets, 116, Portland Trail Blazers, 132
Utah Jazz, 121, Sacramento Kings, 99
Charlotte Hornets, 117, Indiana Pacers, 144
Washington Wizards, 100, Boston Celtics, 118
San Antonio Spurs, 96, Memphis Grizzlies, 100
Golden State Warriors, 100, Los Angeles Lakers, 103
Indiana Pacers, 115, Washington Wizards, 142
Memphis Grizzlies, 117, Golden State Warriors, 112
Miami Heat, 107, Milwaukee Bucks, 109
Dallas Mavericks, 113, Los Angeles Clippers, 103
Boston Celtics, 93, Brooklyn Nets, 104
Portland Trail Blazers, 123, Denver Nuggets, 109
Washington Wizards, 118, Philadelphia 76ers, 125
Los Angeles Lakers, 90, Phoenix Suns, 99
Atlanta Hawks, 107, New York Knicks, 105
Memphis Grizzlies, 112, Utah Jazz, 109
Miami Heat, 98, Milwaukee Bucks, 132
Portland Trail Blazers, 109, Denver Nuggets, 128
Boston Celtics, 108, Brooklyn Nets, 130
Los Angeles Lakers, 109, Phoenix Suns, 102
Dallas Mavericks, 127, Los Angeles Clippers, 121
Washington Wizards, 95, Philadelphia 76ers, 120
Atlanta Hawks, 92, New York Knicks, 101
Memphis Grizzlies, 129, Utah Jazz, 141
