Away, Away_Score, Home, Home_Score
Cleveland Cavaliers, 94, Orlando Magic, 105
Washington Wizards, 136, Philadelphia 76ers, 141
Charlotte Hornets, 102, Atlanta Hawks, 94
Boston Celtics, 107, Miami Heat, 105
Utah Jazz, 100, New York Knicks, 112
Detroit Pistons, 115, Milwaukee Bucks, 130
Oklahoma City Thunder, 111, New Orleans Pelicans, 110
Toronto Raptors, 115, Phoenix Suns, 123
Los Angeles Clippers, 108, Golden State Warriors, 101
Chicago Bulls, 124, Sacramento Kings, 128
Philadelphia 76ers, 109, Brooklyn Nets, 122
Cleveland Cavaliers, 94, Memphis Grizzlies, 90
Dallas Mavericks, 124, Denver Nuggets, 117
San Antonio Spurs, 118, Los Angeles Lakers, 109
Minnesota Timberwolves, 117, Portland Trail Blazers, 135
Phoenix Suns, 105, Detroit Pistons, 110
Washington Wizards, 107, Boston Celtics, 116
Charlotte Hornets, 118, New Orleans Pelicans, 110
Oklahoma City Thunder, 101, New York Knicks, 89
Orlando Magic, 90, Houston Rockets, 132
Brooklyn Nets, 110, Memphis Grizzlies, 115
Utah Jazz, 131, Milwaukee Bucks, 118
Los Angeles Clippers, 105, Golden State Warriors, 115
Chicago Bulls, 115, Los Angeles Lakers, 117
Toronto Raptors, 144, Sacramento Kings, 123
Denver Nuggets, 115, Philadelphia 76ers, 103
Atlanta Hawks, 105, Charlotte Hornets, 113
Phoenix Suns, 125, Indiana Pacers, 117
Miami Heat, 128, Washington Wizards, 124
Cleveland Cavaliers, 90, Milwaukee Bucks, 100
San Antonio Spurs, 125, Minnesota Timberwolves, 122
Orlando Magic, 98, Dallas Mavericks, 112
Portland Trail Blazers, 125, Sacramento Kings, 99
Utah Jazz, 96, Detroit Pistons, 86
Chicago Bulls, 127, Los Angeles Clippers, 130
Oklahoma City Thunder, 129, Brooklyn Nets, 116
Denver Nuggets, 114, New York Knicks, 89
Los Angeles Lakers, 120, Houston Rockets, 102
San Antonio Spurs, 88, Minnesota Timberwolves, 96
Toronto Raptors, 105, Golden State Warriors, 106
New York Knicks, 88, Charlotte Hornets, 109
Memphis Grizzlies, 101, Cleveland Cavaliers, 91
Milwaukee Bucks, 121, Orlando Magic, 99
Phoenix Suns, 107, Washington Wizards, 128
Philadelphia 76ers, 94, Atlanta Hawks, 112
Toronto Raptors, 111, Portland Trail Blazers, 112
Indiana Pacers, 122, Sacramento Kings, 127
Miami Heat, 134, Philadelphia 76ers, 137
Denver Nuggets, 116, Brooklyn Nets, 122
Utah Jazz, 117, Cleveland Cavaliers, 87
Los Angeles Lakers, 117, Houston Rockets, 100
San Antonio Spurs, 112, Oklahoma City Thunder, 102
Indiana Pacers, 104, Golden State Warriors, 95
Dallas Mavericks, 104, Charlotte Hornets, 93
Milwaukee Bucks, 110, Detroit Pistons, 101
Brooklyn Nets, 116, New York Knicks, 109
Memphis Grizzlies, 118, Minnesota Timberwolves, 107
Los Angeles Lakers, 128, Oklahoma City Thunder, 99
New Orleans Pelicans, 106, Los Angeles Clippers, 111
Portland Trail Blazers, 132, Sacramento Kings, 126
Miami Heat, 108, Philadelphia 76ers, 125
Houston Rockets, 109, San Antonio Spurs, 105
Charlotte Hornets, 108, Toronto Raptors, 111
Golden State Warriors, 104, Denver Nuggets, 114
Indiana Pacers, 111, Portland Trail Blazers, 87
Orlando Magic, 97, Boston Celtics, 124
New York Knicks, 103, Cleveland Cavaliers, 106
Dallas Mavericks, 109, Milwaukee Bucks, 112
Chicago Bulls, 125, Oklahoma City Thunder, 127
Atlanta Hawks, 92, Utah Jazz, 116
New Orleans Pelicans, 95, Los Angeles Lakers, 112
Los Angeles Clippers, 138, Sacramento Kings, 100
Houston Rockets, 91, San Antonio Spurs, 103
Orlando Magic, 115, Brooklyn Nets, 122
Charlotte Hornets, 113, Toronto Raptors, 116
Philadelphia 76ers, 104, Memphis Grizzlies, 106
Detroit Pistons, 120, Miami Heat, 100
Atlanta Hawks, 106, Portland Trail Blazers, 112
New York Knicks, 105, Boston Celtics, 75
Chicago Bulls, 117, Dallas Mavericks, 101
Utah Jazz, 109, Denver Nuggets, 105
New Orleans Pelicans, 128, Sacramento Kings, 123
Indiana Pacers, 96, Los Angeles Clippers, 129
Orlando Magic, 84, New York Knicks, 91
Minnesota Timberwolves, 97, Atlanta Hawks, 108
San Antonio Spurs, 125, Portland Trail Blazers, 104
Phoenix Suns, 104, Memphis Grizzlies, 108
Milwaukee Bucks, 123, Brooklyn Nets, 125
Dallas Mavericks, 93, Toronto Raptors, 116
Houston Rockets, 120, Chicago Bulls, 125
Detroit Pistons, 107, Miami Heat, 113
Golden State Warriors, 115, Los Angeles Lakers, 113
Oklahoma City Thunder, 101, Denver Nuggets, 119
New Orleans Pelicans, 102, Utah Jazz, 118
Brooklyn Nets, 135, Cleveland Cavaliers, 147
Dallas Mavericks, 124, Indiana Pacers, 112
Boston Celtics, 109, Philadelphia 76ers, 117
Detroit Pistons, 115, Atlanta Hawks, 123
Miami Heat, 111, Toronto Raptors, 102
Orlando Magic, 97, Minnesota Timberwolves, 96
Phoenix Suns, 109, Houston Rockets, 103
San Antonio Spurs, 99, Golden State Warriors, 121
Sacramento Kings, 96, Los Angeles Clippers, 115
Los Angeles Lakers, 113, Milwaukee Bucks, 106
New York Knicks, 119, Golden State Warriors, 104
New Orleans Pelicans, 118, Utah Jazz, 129
Chicago Bulls, 123, Charlotte Hornets, 110
Houston Rockets, 103, Detroit Pistons, 102
Orlando Magic, 118, Indiana Pacers, 120
Brooklyn Nets, 113, Cleveland Cavaliers, 125
Boston Celtics, 110, Philadelphia 76ers, 122
Miami Heat, 81, Toronto Raptors, 101
Atlanta Hawks, 116, Minnesota Timberwolves, 98
Dallas Mavericks, 122, San Antonio Spurs, 117
Oklahoma City Thunder, 106, Los Angeles Clippers, 120
Denver Nuggets, 130, Phoenix Suns, 126
New York Knicks, 94, Sacramento Kings, 103
Miami Heat, 124, Brooklyn Nets, 128
Philadelphia 76ers, 114, Detroit Pistons, 110
New Orleans Pelicans, 110, Minnesota Timberwolves, 120
Los Angeles Lakers, 101, Chicago Bulls, 90
Houston Rockets, 133, Dallas Mavericks, 108
Denver Nuggets, 120, Phoenix Suns, 112
Golden State Warriors, 108, Utah Jazz, 127
Toronto Raptors, 107, Indiana Pacers, 102
Oklahoma City Thunder, 100, Los Angeles Clippers, 108
Cleveland Cavaliers, 103, Boston Celtics, 141
Charlotte Hornets, 107, Orlando Magic, 104
Atlanta Hawks, 115, Milwaukee Bucks, 129
Washington Wizards, 101, San Antonio Spurs, 121
New York Knicks, 113, Portland Trail Blazers, 116
Philadelphia 76ers, 104, Detroit Pistons, 119
Toronto Raptors, 114, Indiana Pacers, 129
Charlotte Hornets, 108, Orlando Magic, 117
Miami Heat, 85, Brooklyn Nets, 98
Los Angeles Lakers, 115, Cleveland Cavaliers, 108
Denver Nuggets, 117, Dallas Mavericks, 113
Boston Celtics, 119, Chicago Bulls, 103
Minnesota Timberwolves, 108, Golden State Warriors, 130
Oklahoma City Thunder, 125, Portland Trail Blazers, 122
Los Angeles Clippers, 99, Atlanta Hawks, 108
Washington Wizards, 88, Houston Rockets, 107
New York Knicks, 94, Utah Jazz, 108
Indiana Pacers, 116, Charlotte Hornets, 106
Detroit Pistons, 107, Cleveland Cavaliers, 122
Sacramento Kings, 121, Orlando Magic, 107
Brooklyn Nets, 132, Atlanta Hawks, 128
Denver Nuggets, 109, Miami Heat, 82
Los Angeles Lakers, 106, Philadelphia 76ers, 107
Milwaukee Bucks, 115, Toronto Raptors, 108
Boston Celtics, 106, San Antonio Spurs, 110
Washington Wizards, 106, New Orleans Pelicans, 124
Oklahoma City Thunder, 102, Phoenix Suns, 97
Dallas Mavericks, 104, Utah Jazz, 116
Minnesota Timberwolves, 111, Golden State Warriors, 123
Portland Trail Blazers, 101, Houston Rockets, 104
Los Angeles Lakers, 92, Detroit Pistons, 107
Los Angeles Clippers, 109, Miami Heat, 105
Golden State Warriors, 93, Phoenix Suns, 114
Indiana Pacers, 105, Charlotte Hornets, 108
Atlanta Hawks, 116, Washington Wizards, 100
Milwaukee Bucks, 126, New Orleans Pelicans, 131
Cleveland Cavaliers, 81, New York Knicks, 102
Sacramento Kings, 126, Toronto Raptors, 124
Philadelphia 76ers, 118, Minnesota Timberwolves, 94
Brooklyn Nets, 147, Oklahoma City Thunder, 125
Los Angeles Clippers, 116, Orlando Magic, 90
Denver Nuggets, 109, San Antonio Spurs, 119
Dallas Mavericks, 101, Utah Jazz, 120
Portland Trail Blazers, 123, Chicago Bulls, 122
Milwaukee Bucks, 114, Charlotte Hornets, 126
Sacramento Kings, 104, Miami Heat, 105
Houston Rockets, 126, New Orleans Pelicans, 112
Los Angeles Lakers, 96, Boston Celtics, 95
Memphis Grizzlies, 129, San Antonio Spurs, 112
Phoenix Suns, 111, Dallas Mavericks, 105
Detroit Pistons, 91, Golden State Warriors, 118
Los Angeles Clippers, 129, New York Knicks, 115
Utah Jazz, 117, Denver Nuggets, 128
Philadelphia 76ers, 119, Indiana Pacers, 110
Orlando Magic, 102, Toronto Raptors, 115
Brooklyn Nets, 146, Washington Wizards, 149
Cleveland Cavaliers, 104, Minnesota Timberwolves, 109
