,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,39.0,240.6,42.1,91.4,0.46,10.5,30.1,0.35,31.6,61.3,0.52,16.2,20.6,0.79,10.9,34.5,45.5,26.5,9.8,4.3,13.7,18.9,110.9,40.2,85.9,0.47,13.0,35.0,0.37,27.2,50.9,0.53,17.3,22.1,0.78,8.8,35.1,43.8,25.3,8.1,5.5,16.2,18.3,110.6,24.5,19.0,20.0,20.0,19.0,0.26,0.15,0.41,109.9,109.6,0.3,100.7,0.23,0.33,0.55,0.52,12.0,23.8,0.18,0.54,14.5,Memphis Grizzlies
0,43.0,242.9,42.1,87.7,0.48,10.8,29.1,0.37,31.3,58.6,0.53,20.1,25.7,0.78,10.3,36.2,46.5,23.7,8.9,6.3,15.4,20.2,115.1,40.1,89.3,0.45,12.2,33.6,0.36,28.0,55.7,0.5,17.2,22.5,0.77,9.9,32.4,42.3,23.5,7.7,4.5,15.1,21.2,109.7,27.0,30.0,13.0,28.0,15.0,5.42,-0.5,4.92,113.0,107.7,5.3,100.6,0.29,0.33,0.58,0.54,13.4,24.2,0.23,0.52,13.2,Philadelphia 76ers
0,41.0,240.6,44.4,91.6,0.48,14.4,37.5,0.39,30.0,54.1,0.56,16.1,21.5,0.75,10.4,38.1,48.5,26.0,8.1,4.8,13.9,17.6,119.5,42.0,92.3,0.45,14.1,37.8,0.37,27.8,54.5,0.51,14.4,18.5,0.78,9.2,34.2,43.5,25.0,6.8,4.8,13.0,18.5,112.5,28.0,27.0,14.0,29.0,12.0,7.0,-0.44,6.56,116.8,110.0,6.8,102.0,0.23,0.41,0.59,0.56,12.1,23.3,0.18,0.53,11.5,Milwaukee Bucks
0,42.0,241.8,39.1,87.2,0.45,12.8,37.0,0.35,26.3,50.1,0.52,15.3,20.6,0.74,8.3,36.2,44.5,22.8,6.9,4.3,14.8,18.3,106.2,42.4,90.9,0.47,12.7,36.2,0.35,29.7,54.7,0.54,14.8,19.5,0.76,9.9,37.5,47.4,24.6,8.0,4.6,13.2,18.4,112.2,23.6,18.0,24.0,13.0,29.0,-5.93,0.38,-5.55,105.4,111.3,-5.9,100.0,0.24,0.42,0.55,0.52,13.3,18.1,0.17,0.54,11.7,Oklahoma City Thunder
0,42.0,241.8,40.5,91.3,0.44,12.6,36.1,0.35,27.9,55.2,0.51,15.8,20.8,0.76,10.4,32.7,43.1,25.1,8.7,5.7,14.6,21.6,109.5,43.0,89.5,0.48,11.8,31.2,0.38,31.1,58.2,0.54,19.4,24.5,0.79,10.4,36.4,46.8,26.2,7.4,5.5,15.2,18.9,117.2,23.3,10.0,32.0,12.0,30.0,-7.69,0.64,-7.06,107.0,114.5,-7.5,101.6,0.23,0.4,0.55,0.51,12.7,22.1,0.17,0.55,13.2,Minnesota Timberwolves
0,39.0,241.3,41.5,90.7,0.46,10.8,29.8,0.36,30.7,60.9,0.51,16.5,21.0,0.79,9.2,35.2,44.4,24.8,7.1,5.1,11.3,17.2,110.3,41.7,89.5,0.47,12.7,33.9,0.38,29.0,55.6,0.52,14.2,19.1,0.74,10.0,37.8,47.9,24.6,6.0,5.4,13.8,18.3,110.4,26.4,22.0,17.0,19.0,20.0,-0.05,-0.73,-0.78,110.4,110.5,-0.1,99.4,0.23,0.33,0.55,0.52,10.2,19.5,0.18,0.54,12.3,San Antonio Spurs
0,41.0,240.6,40.6,86.1,0.47,13.7,37.7,0.36,26.9,48.4,0.56,17.2,21.9,0.79,8.2,34.7,42.9,22.7,6.2,4.6,12.3,19.8,112.1,40.3,87.8,0.46,13.6,36.6,0.37,26.8,51.2,0.52,17.0,22.1,0.77,10.0,34.6,44.6,22.9,7.3,3.6,12.7,20.6,111.1,26.3,22.0,19.0,22.0,19.0,0.93,0.88,1.8,114.5,113.5,1.0,97.7,0.25,0.44,0.58,0.55,11.4,19.2,0.2,0.54,11.5,Dallas Mavericks
0,42.0,243.0,39.1,86.5,0.45,9.5,27.8,0.34,29.6,58.8,0.5,16.2,22.4,0.73,11.2,32.3,43.5,23.2,8.1,5.2,16.0,19.2,104.0,41.3,86.4,0.48,12.5,32.3,0.39,28.7,54.2,0.53,16.7,21.5,0.78,10.3,33.2,43.5,24.2,8.7,6.0,15.3,20.5,111.8,24.1,16.0,26.0,11.0,31.0,-7.71,0.64,-7.07,105.5,113.3,-7.8,97.4,0.26,0.32,0.54,0.51,14.2,25.3,0.19,0.55,13.8,Cleveland Cavaliers
0,42.0,240.6,40.4,90.6,0.45,16.1,42.5,0.38,24.2,48.1,0.5,17.6,21.1,0.83,10.5,33.0,43.5,19.9,7.1,5.0,11.5,19.3,114.5,42.1,87.7,0.48,13.2,34.9,0.38,29.0,52.9,0.55,18.1,23.3,0.78,10.2,36.0,46.2,25.2,6.3,4.4,12.8,18.6,115.5,27.2,25.0,17.0,20.0,22.0,-1.05,-0.5,-1.55,116.5,117.5,-1.0,98.1,0.23,0.47,0.57,0.53,10.3,22.6,0.2,0.56,11.5,Portland Trail Blazers
0,42.0,240.0,39.5,88.3,0.45,15.5,40.7,0.38,24.0,47.5,0.51,17.9,21.6,0.83,9.2,31.7,40.9,25.1,8.5,5.5,13.6,22.2,112.3,38.6,84.0,0.46,14.2,37.6,0.38,24.4,46.4,0.53,20.8,26.2,0.79,9.9,36.1,46.0,26.6,7.0,6.0,16.7,20.5,112.3,27.3,17.0,25.0,21.0,21.0,-0.02,-0.21,-0.24,112.5,112.6,-0.1,99.7,0.24,0.46,0.57,0.54,12.2,20.4,0.2,0.54,14.8,Toronto Raptors
