date,time,away,score_away,home,score_home,audience
"Fri, Dec 13, 2019",8:00p,Charlotte Hornets,83,Chicago Bulls,73,"18,377"
"Fri, Dec 13, 2019",8:00p,Milwaukee Bucks,127,Memphis Grizzlies,114,"16,109"
"Fri, Dec 13, 2019",9:00p,Golden State Warriors,106,Utah Jazz,114,"18,306"
"Fri, Dec 13, 2019",9:30p,Los Angeles Clippers,124,Minnesota Timberwolves,117,"17,585"
"Fri, Dec 13, 2019",10:00p,New York Knicks,103,Sacramento Kings,101,"17,583"
"Sat, Dec 14, 2019",5:00p,San Antonio Spurs,121,Phoenix Suns,119,"20,013"
"Sat, Dec 14, 2019",7:30p,Brooklyn Nets,102,Toronto Raptors,110,"19,800"
"Sat, Dec 14, 2019",8:00p,Los Angeles Clippers,106,Chicago Bulls,109,"18,426"
"Sat, Dec 14, 2019",8:00p,Washington Wizards,111,Memphis Grizzlies,128,"15,631"
"Sat, Dec 14, 2019",8:30p,Miami Heat,122,Dallas Mavericks,118,"20,333"
"Sat, Dec 14, 2019",8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125,"17,481"
"Sat, Dec 14, 2019",9:00p,Oklahoma City Thunder,102,Denver Nuggets,110,"19,520"
"Sat, Dec 14, 2019",9:00p,Detroit Pistons,115,Houston Rockets,107,"18,055"
"Sun, Dec 15, 2019",3:30p,Orlando Magic,130,New Orleans Pelicans,119,"15,388"
"Sun, Dec 15, 2019",5:00p,Charlotte Hornets,85,Indiana Pacers,107,"16,061"
"Sun, Dec 15, 2019",6:00p,Los Angeles Lakers,101,Atlanta Hawks,96,"16,962"
"Sun, Dec 15, 2019",6:00p,Philadelphia 76ers,89,Brooklyn Nets,109,"17,732"
"Sun, Dec 15, 2019",8:00p,New York Knicks,105,Denver Nuggets,111,"18,867"
"Sun, Dec 15, 2019",8:30p,Sacramento Kings,100,Golden State Warriors,79,"18,064"
"Mon, Dec 16, 2019",7:00p,Washington Wizards,133,Detroit Pistons,119,"14,632"
"Mon, Dec 16, 2019",7:30p,Cleveland Cavaliers,113,Toronto Raptors,133,"19,800"
"Mon, Dec 16, 2019",8:00p,San Antonio Spurs,107,Houston Rockets,109,"18,055"
"Mon, Dec 16, 2019",8:00p,Miami Heat,111,Memphis Grizzlies,118,"14,021"
"Mon, Dec 16, 2019",8:00p,Dallas Mavericks,120,Milwaukee Bucks,116,"17,727"
"Mon, Dec 16, 2019",8:00p,Chicago Bulls,106,Oklahoma City Thunder,109,"18,203"
"Mon, Dec 16, 2019",9:00p,Portland Trail Blazers,111,Phoenix Suns,110,"14,193"
"Tue, Dec 17, 2019",7:00p,Sacramento Kings,102,Charlotte Hornets,110,"13,229"
"Tue, Dec 17, 2019",7:00p,Los Angeles Lakers,102,Indiana Pacers,105,"17,923"
"Tue, Dec 17, 2019",7:30p,Atlanta Hawks,120,New York Knicks,143,"18,268"
"Tue, Dec 17, 2019",8:00p,Brooklyn Nets,108,New Orleans Pelicans,101,"15,177"
"Tue, Dec 17, 2019",9:00p,Orlando Magic,102,Utah Jazz,109,"18,306"
"Tue, Dec 17, 2019",10:30p,Phoenix Suns,99,Los Angeles Clippers,120,"19,068"
"Wed, Dec 18, 2019",7:00p,Charlotte Hornets,98,Cleveland Cavaliers,100,"17,023"
"Wed, Dec 18, 2019",7:00p,Toronto Raptors,112,Detroit Pistons,99,"15,319"
"Wed, Dec 18, 2019",7:00p,Miami Heat,108,Philadelphia 76ers,104,"20,715"
"Wed, Dec 18, 2019",7:00p,Chicago Bulls,110,Washington Wizards,109,"14,987"
"Wed, Dec 18, 2019",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,99,"12,490"
"Wed, Dec 18, 2019",8:00p,Memphis Grizzlies,122,Oklahoma City Thunder,126,"18,203"
"Wed, Dec 18, 2019",9:00p,Orlando Magic,104,Denver Nuggets,113,"18,182"
"Wed, Dec 18, 2019",9:30p,Boston Celtics,109,Dallas Mavericks,103,"20,181"
"Wed, Dec 18, 2019",10:00p,Golden State Warriors,112,Portland Trail Blazers,122,"19,393"
"Thu, Dec 19, 2019",7:30p,Utah Jazz,111,Atlanta Hawks,106,"16,739"
"Thu, Dec 19, 2019",8:00p,Los Angeles Lakers,104,Milwaukee Bucks,111,"18,051"
"Thu, Dec 19, 2019",8:30p,Brooklyn Nets,105,San Antonio Spurs,118,"18,354"
"Thu, Dec 19, 2019",10:30p,Houston Rockets,122,Los Angeles Clippers,117,"19,068"
"Fri, Dec 20, 2019",7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,114,"19,432"
"Fri, Dec 20, 2019",7:00p,Sacramento Kings,105,Indiana Pacers,119,"14,649"
"Fri, Dec 20, 2019",7:30p,Detroit Pistons,93,Boston Celtics,114,"19,156"
"Fri, Dec 20, 2019",7:30p,Washington Wizards,118,Toronto Raptors,122,"19,800"
"Fri, Dec 20, 2019",8:00p,New York Knicks,114,Miami Heat,129,"19,704"
"Fri, Dec 20, 2019",8:00p,Phoenix Suns,108,Oklahoma City Thunder,126,"18,203"
"Fri, Dec 20, 2019",8:00p,Dallas Mavericks,117,Philadelphia 76ers,98,"20,778"
"Fri, Dec 20, 2019",9:00p,Minnesota Timberwolves,100,Denver Nuggets,109,"19,520"
"Fri, Dec 20, 2019",10:00p,Orlando Magic,103,Portland Trail Blazers,118,"19,393"
"Fri, Dec 20, 2019",10:30p,New Orleans Pelicans,102,Golden State Warriors,106,"18,064"
"Sat, Dec 21, 2019",5:00p,Utah Jazz,114,Charlotte Hornets,107,"16,187"
"Sat, Dec 21, 2019",6:00p,Atlanta Hawks,112,Brooklyn Nets,122,"16,496"
"Sat, Dec 21, 2019",7:00p,Chicago Bulls,119,Detroit Pistons,107,"15,948"
"Sat, Dec 21, 2019",7:00p,Washington Wizards,108,Philadelphia 76ers,125,"20,529"
"Sat, Dec 21, 2019",7:30p,Milwaukee Bucks,123,New York Knicks,102,"18,124"
"Sat, Dec 21, 2019",8:00p,Sacramento Kings,115,Memphis Grizzlies,119,"15,603"
"Sat, Dec 21, 2019",8:30p,Los Angeles Clippers,134,San Antonio Spurs,109,"18,354"
"Sat, Dec 21, 2019",9:00p,Houston Rockets,139,Phoenix Suns,125,"16,061"
"Sat, Dec 21, 2019",10:00p,Minnesota Timberwolves,106,Portland Trail Blazers,113,"19,393"
"Sun, Dec 22, 2019",3:30p,Dallas Mavericks,107,Toronto Raptors,110,"19,800"
"Sun, Dec 22, 2019",6:00p,Charlotte Hornets,93,Boston Celtics,119,"19,156"
"Sun, Dec 22, 2019",7:00p,Indiana Pacers,89,Milwaukee Bucks,117,"18,029"
"Sun, Dec 22, 2019",7:00p,Los Angeles Clippers,112,Oklahoma City Thunder,118,"18,203"
"Sun, Dec 22, 2019",9:30p,Denver Nuggets,128,Los Angeles Lakers,104,"18,997"
"Mon, Dec 23, 2019",7:00p,Atlanta Hawks,118,Cleveland Cavaliers,121,"18,007"
"Mon, Dec 23, 2019",7:00p,Philadelphia 76ers,125,Detroit Pistons,109,"16,476"
"Mon, Dec 23, 2019",7:00p,Toronto Raptors,115,Indiana Pacers,120,"17,164"
"Mon, Dec 23, 2019",7:00p,Washington Wizards,121,New York Knicks,115,"19,413"
"Mon, Dec 23, 2019",7:00p,Chicago Bulls,95,Orlando Magic,103,"18,846"
"Mon, Dec 23, 2019",7:30p,Utah Jazz,104,Miami Heat,107,"19,890"
"Mon, Dec 23, 2019",8:00p,San Antonio Spurs,145,Memphis Grizzlies,115,"16,776"
"Mon, Dec 23, 2019",9:00p,Denver Nuggets,113,Phoenix Suns,111,"16,041"
"Mon, Dec 23, 2019",10:00p,New Orleans Pelicans,102,Portland Trail Blazers,94,"19,499"
"Mon, Dec 23, 2019",10:00p,Houston Rockets,113,Sacramento Kings,104,"17,583"
"Mon, Dec 23, 2019",10:30p,Minnesota Timberwolves,104,Golden State Warriors,113,"18,064"
"Wed, Dec 25, 2019",12:00p,Boston Celtics,118,Toronto Raptors,102,"19,800"
"Wed, Dec 25, 2019",2:30p,Milwaukee Bucks,109,Philadelphia 76ers,121,"21,028"
"Wed, Dec 25, 2019",5:00p,Houston Rockets,104,Golden State Warriors,116,"18,064"
"Wed, Dec 25, 2019",8:00p,Los Angeles Clippers,111,Los Angeles Lakers,106,"18,997"
"Wed, Dec 25, 2019",10:30p,New Orleans Pelicans,112,Denver Nuggets,100,"19,520"
"Thu, Dec 26, 2019",7:00p,Washington Wizards,102,Detroit Pistons,132,"17,188"
"Thu, Dec 26, 2019",7:30p,New York Knicks,94,Brooklyn Nets,82,"17,732"
"Thu, Dec 26, 2019",8:00p,San Antonio Spurs,98,Dallas Mavericks,102,"20,427"
"Thu, Dec 26, 2019",8:00p,Memphis Grizzlies,110,Oklahoma City Thunder,97,"18,203"
"Thu, Dec 26, 2019",10:00p,Minnesota Timberwolves,105,Sacramento Kings,104,"17,583"
"Thu, Dec 26, 2019",10:30p,Portland Trail Blazers,115,Utah Jazz,121,"18,306"
"Fri, Dec 27, 2019",4:00p,Cleveland Cavaliers,117,Boston Celtics,129,"19,156"
"Fri, Dec 27, 2019",7:00p,Oklahoma City Thunder,104,Charlotte Hornets,102,"18,418"
"Fri, Dec 27, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,98,"17,311"
"Fri, Dec 27, 2019",7:30p,Milwaukee Bucks,112,Atlanta Hawks,86,"17,358"
"Fri, Dec 27, 2019",8:00p,Indiana Pacers,112,Miami Heat,113,"19,767"
"Fri, Dec 27, 2019",10:30p,Phoenix Suns,96,Golden State Warriors,105,"18,064"
"Sat, Dec 28, 2019",5:00p,Memphis Grizzlies,110,Denver Nuggets,119,"19,697"
"Sat, Dec 28, 2019",7:00p,Toronto Raptors,113,Boston Celtics,97,"19,156"
"Sat, Dec 28, 2019",7:00p,Indiana Pacers,98,New Orleans Pelicans,120,"15,391"
"Sat, Dec 28, 2019",8:00p,Atlanta Hawks,81,Chicago Bulls,116,"21,496"
"Sat, Dec 28, 2019",8:00p,Brooklyn Nets,98,Houston Rockets,108,"18,306"
"Sat, Dec 28, 2019",8:00p,Philadelphia 76ers,116,Miami Heat,117,"19,865"
"Sat, Dec 28, 2019",8:00p,Cleveland Cavaliers,94,Minnesota Timberwolves,88,"15,411"
"Sat, Dec 28, 2019",8:00p,New York Knicks,107,Washington Wizards,100,"19,033"
"Sat, Dec 28, 2019",8:30p,Dallas Mavericks,141,Golden State Warriors,121,"18,064"
"Sat, Dec 28, 2019",8:30p,Orlando Magic,100,Milwaukee Bucks,111,"17,920"
"Sat, Dec 28, 2019",8:30p,Detroit Pistons,109,San Antonio Spurs,136,"18,524"
"Sat, Dec 28, 2019",9:00p,Phoenix Suns,112,Sacramento Kings,110,"17,583"
"Sat, Dec 28, 2019",10:00p,Los Angeles Lakers,128,Portland Trail Blazers,120,"19,960"
"Sat, Dec 28, 2019",10:30p,Utah Jazz,120,Los Angeles Clippers,107,"19,068"
"Sun, Dec 29, 2019",6:00p,Oklahoma City Thunder,98,Toronto Raptors,97,"19,800"
"Sun, Dec 29, 2019",8:00p,Sacramento Kings,115,Denver Nuggets,120,"19,520"
"Sun, Dec 29, 2019",8:00p,Charlotte Hornets,104,Memphis Grizzlies,117,"16,842"
"Sun, Dec 29, 2019",8:00p,Houston Rockets,112,New Orleans Pelicans,127,"17,712"
"Sun, Dec 29, 2019",9:30p,Dallas Mavericks,95,Los Angeles Lakers,108,"18,997"
