date,time,away,score_away,home,score_home,audience
"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,"16,358"
"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,"13,155"
"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,"15,113"
"Wed, Nov 13, 2019",7:30p,Washington Wizards,133,Boston Celtics,140,"19,156"
"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,93,Houston Rockets,102,"18,055"
"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,"11,581"
"Wed, Nov 13, 2019",10:00p,Golden State Warriors,94,Los Angeles Lakers,120,"18,997"
"Wed, Nov 13, 2019",10:00p,Toronto Raptors,114,Portland Trail Blazers,106,"19,544"
"Thu, Nov 14, 2019",6:00p,Miami Heat,108,Cleveland Cavaliers,97,"17,374"
"Thu, Nov 14, 2019",8:00p,Chicago Bulls,115,Milwaukee Bucks,124,"17,627"
"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,"17,147"
"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,103,New York Knicks,106,"19,812"
"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,112,Phoenix Suns,128,"15,143"
"Thu, Nov 14, 2019",10:30p,Brooklyn Nets,93,Denver Nuggets,101,"18,394"
"Fri, Nov 15, 2019",7:00p,Detroit Pistons,106,Charlotte Hornets,109,"16,778"
"Fri, Nov 15, 2019",7:00p,San Antonio Spurs,109,Orlando Magic,111,"16,296"
"Fri, Nov 15, 2019",8:00p,Indiana Pacers,102,Houston Rockets,111,"18,055"
"Fri, Nov 15, 2019",8:00p,Utah Jazz,106,Memphis Grizzlies,107,"16,422"
"Fri, Nov 15, 2019",8:00p,Washington Wizards,137,Minnesota Timberwolves,116,"12,716"
"Fri, Nov 15, 2019",8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,"18,203"
"Fri, Nov 15, 2019",10:30p,Boston Celtics,105,Golden State Warriors,100,"18,064"
"Fri, Nov 15, 2019",10:30p,Sacramento Kings,97,Los Angeles Lakers,99,"18,997"
"Sat, Nov 16, 2019",6:00p,Brooklyn Nets,117,Chicago Bulls,111,"19,148"
"Sat, Nov 16, 2019",7:00p,Milwaukee Bucks,102,Indiana Pacers,83,"17,024"
"Sat, Nov 16, 2019",7:30p,Charlotte Hornets,103,New York Knicks,102,"19,401"
"Sat, Nov 16, 2019",8:00p,New Orleans Pelicans,94,Miami Heat,109,"19,600"
"Sat, Nov 16, 2019",8:00p,Houston Rockets,125,Minnesota Timberwolves,105,"18,978"
"Sat, Nov 16, 2019",8:30p,Toronto Raptors,102,Dallas Mavericks,110,"19,926"
"Sat, Nov 16, 2019",8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,"18,534"
"Sat, Nov 16, 2019",10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,"19,068"
"Sun, Nov 17, 2019",3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,"19,432"
"Sun, Nov 17, 2019",3:30p,Boston Celtics,99,Sacramento Kings,100,"16,633"
"Sun, Nov 17, 2019",6:00p,Denver Nuggets,131,Memphis Grizzlies,114,"14,227"
"Sun, Nov 17, 2019",6:00p,Washington Wizards,121,Orlando Magic,125,"16,344"
"Sun, Nov 17, 2019",7:00p,Golden State Warriors,100,New Orleans Pelicans,108,"16,812"
"Sun, Nov 17, 2019",9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,"18,997"
"Mon, Nov 18, 2019",7:00p,Cleveland Cavaliers,105,New York Knicks,123,"17,097"
"Mon, Nov 18, 2019",7:30p,Indiana Pacers,115,Brooklyn Nets,86,"14,140"
"Mon, Nov 18, 2019",7:30p,Charlotte Hornets,96,Toronto Raptors,132,"19,800"
"Mon, Nov 18, 2019",8:00p,Milwaukee Bucks,115,Chicago Bulls,101,"17,565"
"Mon, Nov 18, 2019",8:00p,Portland Trail Blazers,108,Houston Rockets,132,"18,055"
"Mon, Nov 18, 2019",8:30p,San Antonio Spurs,110,Dallas Mavericks,117,"19,637"
"Mon, Nov 18, 2019",9:00p,Boston Celtics,99,Phoenix Suns,85,"15,193"
"Mon, Nov 18, 2019",9:00p,Minnesota Timberwolves,112,Utah Jazz,102,"18,306"
"Mon, Nov 18, 2019",10:30p,Oklahoma City Thunder,88,Los Angeles Clippers,90,"19,068"
"Tue, Nov 19, 2019",8:00p,Golden State Warriors,114,Memphis Grizzlies,95,"14,511"
"Tue, Nov 19, 2019",8:00p,Portland Trail Blazers,104,New Orleans Pelicans,115,"15,021"
"Tue, Nov 19, 2019",10:00p,Phoenix Suns,116,Sacramento Kings,120,"16,732"
"Tue, Nov 19, 2019",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,112,"18,997"
"Wed, Nov 20, 2019",7:00p,New York Knicks,104,Philadelphia 76ers,109,"20,384"
"Wed, Nov 20, 2019",7:00p,San Antonio Spurs,132,Washington Wizards,138,"14,579"
"Wed, Nov 20, 2019",7:30p,Milwaukee Bucks,135,Atlanta Hawks,127,"16,441"
"Wed, Nov 20, 2019",7:30p,Charlotte Hornets,91,Brooklyn Nets,101,"14,011"
"Wed, Nov 20, 2019",7:30p,Golden State Warriors,94,Dallas Mavericks,142,"19,569"
"Wed, Nov 20, 2019",7:30p,Cleveland Cavaliers,100,Miami Heat,124,"19,600"
"Wed, Nov 20, 2019",7:30p,Orlando Magic,97,Toronto Raptors,113,"19,800"
"Wed, Nov 20, 2019",8:00p,Detroit Pistons,89,Chicago Bulls,109,"18,119"
"Wed, Nov 20, 2019",8:00p,Utah Jazz,103,Minnesota Timberwolves,95,"13,177"
"Wed, Nov 20, 2019",9:00p,Houston Rockets,95,Denver Nuggets,105,"17,778"
"Wed, Nov 20, 2019",10:00p,Boston Celtics,104,Los Angeles Clippers,107,"19,068"
"Thu, Nov 21, 2019",8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,"17,385"
"Thu, Nov 21, 2019",10:30p,New Orleans Pelicans,124,Phoenix Suns,121,"13,903"
"Fri, Nov 22, 2019",7:00p,Atlanta Hawks,103,Detroit Pistons,128,"15,399"
"Fri, Nov 22, 2019",7:00p,Charlotte Hornets,118,Washington Wizards,125,"15,053"
"Fri, Nov 22, 2019",7:30p,Sacramento Kings,97,Brooklyn Nets,116,"15,619"
"Fri, Nov 22, 2019",8:00p,Miami Heat,116,Chicago Bulls,108,"18,953"
"Fri, Nov 22, 2019",8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,"18,203"
"Fri, Nov 22, 2019",8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,"20,927"
"Fri, Nov 22, 2019",8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,"19,639"
"Fri, Nov 22, 2019",9:00p,Boston Celtics,92,Denver Nuggets,96,"19,520"
"Fri, Nov 22, 2019",9:00p,Golden State Warriors,109,Utah Jazz,113,"18,306"
"Fri, Nov 22, 2019",10:30p,Houston Rockets,119,Los Angeles Clippers,122,"19,068"
"Sat, Nov 23, 2019",5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,"17,362"
"Sat, Nov 23, 2019",7:00p,Chicago Bulls,116,Charlotte Hornets,115,"17,891"
"Sat, Nov 23, 2019",7:00p,Orlando Magic,106,Indiana Pacers,111,"16,446"
"Sat, Nov 23, 2019",7:30p,Toronto Raptors,119,Atlanta Hawks,116,"16,931"
"Sat, Nov 23, 2019",7:30p,San Antonio Spurs,111,New York Knicks,104,"19,320"
"Sat, Nov 23, 2019",7:30p,Miami Heat,86,Philadelphia 76ers,113,"21,017"
