TEAM,Brooklyn Nets,Dallas Mavericks,Los Angeles Clippers,Los Angeles Lakers,Toronto Raptors,Utah Jazz,Denver Nuggets,Indiana Pacers,Memphis Grizzlies,Miami Heat,New York Knicks,Oklahoma City Thunder,Orlando Magic,Portland Trail Blazers,Sacramento Kings,Washington Wizards,Boston Celtics,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Golden State Warriors,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,Philadelphia 76ers,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Houston Rockets,Detroit Pistons
OPP DREB,34,37.1,33,34.8,33.8,31,31.7,34.2,30.4,33.6,30.2,33,31.6,32,32,34.5,34.8,32.5,35,33.8,33,38.3,37.2,34.6,30.2,33.5,38,37.2,37.2,34.2
OPP REB,43.2,46.4,42.2,47,42.4,42.8,40.7,44.4,44,43,39,42.8,39.6,44.8,39,43.2,47,43.8,43.6,43.8,42.8,46.5,45.3,42.8,36.8,42,48,47.6,48.4,45
OPP AST,23.4,25.4,21.8,21.2,30,23.2,26.2,22.4,23.8,22.8,24.5,21.8,26.6,28.2,24.8,24.7,21.6,26.8,25.4,23.4,26.2,24.8,28.7,26.2,25.6,21.5,25.6,28.8,23.8,20.6
OPP TOV,11,14.3,12,15.6,14.4,12.8,14.5,14.2,14.4,14.4,13.2,13,14.6,11.6,12.6,18.8,16.4,15.2,21,14.8,12.6,13.5,15.5,15.8,11.6,13,14,13.4,17.2,12.6
OPP STL,8.4,7.6,6.2,7.4,6.6,6.4,8.2,8.4,8.4,7,7.7,7,7.4,6.4,8.6,8.8,7,7.3,7.2,10.2,6.8,8.5,9,10.4,7.2,7.8,5.2,10.6,7.6,9.6
OPP BLK,4.6,5.1,4.6,2.6,4.6,2.4,2.8,4.8,5.2,4.4,4.2,4.8,4.8,3.6,3.4,5.8,6,4.8,5.4,5.2,3.4,5,4.8,7.4,4.2,5.8,3.2,6.6,3.6,5.6
OPP BLKA,4,6.3,4,6.2,3.4,5.4,3.8,5.8,5.6,6.2,5.5,7,3.8,6.6,4.6,4,5.6,3.8,5,2.8,3.4,3.8,2.5,4,2.6,4.8,6.2,4.4,5,3.2
OPP PF,23.6,19.1,24,20.8,21.8,17.2,19.3,18,19.8,19,21.2,22,21.4,20.2,20.6,25.2,21.2,19.3,18,22.2,22,20.8,19,22.2,19.8,22.5,20.2,19.6,19.2,18.2
OPP PFD,21.4,16.3,21.8,24.2,21.8,19,21.3,19.4,17.2,20.2,20.8,20,17.8,20,22,23.5,20.6,17.2,23.4,18.6,21.2,19.8,19.7,20,20.4,20.8,20.8,24.2,22.6,22.4
OPP PTS,113.4,106.7,109.6,106.2,113,103.4,109.7,111,101.8,102,116.3,105.8,117,113.2,116,115.8,110,108.5,108.6,115.4,118,108.7,120.3,119.8,117.6,123,119.8,127.4,118,110.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
