date,time,away,score_away,home,score_home,audience
"Thu, Feb 20, 2020",7:30p,Miami Heat,124,Atlanta Hawks,129,"17,356"
"Thu, Feb 20, 2020",8:00p,Charlotte Hornets,103,Chicago Bulls,93,"17,463"
"Thu, Feb 20, 2020",8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,"20,806"
"Thu, Feb 20, 2020",10:00p,Memphis Grizzlies,125,Sacramento Kings,129,"17,078"
"Thu, Feb 20, 2020",10:30p,Houston Rockets,135,Golden State Warriors,105,"18,064"
"Fri, Feb 21, 2020",7:00p,Dallas Mavericks,122,Orlando Magic,106,"18,846"
"Fri, Feb 21, 2020",7:00p,Cleveland Cavaliers,113,Washington Wizards,108,"18,895"
"Fri, Feb 21, 2020",7:30p,Indiana Pacers,106,New York Knicks,98,"19,812"
"Fri, Feb 21, 2020",7:30p,Phoenix Suns,101,Toronto Raptors,118,"19,800"
"Fri, Feb 21, 2020",8:00p,Boston Celtics,127,Minnesota Timberwolves,117,"18,978"
"Fri, Feb 21, 2020",8:00p,Denver Nuggets,101,Oklahoma City Thunder,113,"18,203"
"Fri, Feb 21, 2020",9:00p,San Antonio Spurs,113,Utah Jazz,104,"18,306"
"Fri, Feb 21, 2020",10:30p,Memphis Grizzlies,105,Los Angeles Lakers,117,"18,997"
"Fri, Feb 21, 2020",10:30p,New Orleans Pelicans,128,Portland Trail Blazers,115,"19,946"
"Sat, Feb 22, 2020",3:30p,Sacramento Kings,112,Los Angeles Clippers,103,"19,068"
"Sat, Feb 22, 2020",7:00p,Brooklyn Nets,115,Charlotte Hornets,86,"19,079"
"Sat, Feb 22, 2020",7:30p,Dallas Mavericks,107,Atlanta Hawks,111,"17,050"
"Sat, Feb 22, 2020",8:00p,Phoenix Suns,112,Chicago Bulls,104,"20,506"
"Sat, Feb 22, 2020",8:00p,Cleveland Cavaliers,105,Miami Heat,124,"19,754"
"Sat, Feb 22, 2020",8:30p,Philadelphia 76ers,98,Milwaukee Bucks,119,"18,290"
"Sat, Feb 22, 2020",9:00p,Houston Rockets,120,Utah Jazz,110,"18,306"
"Sun, Feb 23, 2020",3:30p,Boston Celtics,112,Los Angeles Lakers,114,"18,997"
"Sun, Feb 23, 2020",6:00p,Minnesota Timberwolves,116,Denver Nuggets,128,"19,626"
"Sun, Feb 23, 2020",6:00p,Indiana Pacers,81,Toronto Raptors,127,"19,800"
"Sun, Feb 23, 2020",7:00p,Washington Wizards,117,Chicago Bulls,126,"18,024"
"Sun, Feb 23, 2020",7:00p,San Antonio Spurs,103,Oklahoma City Thunder,131,"18,203"
"Sun, Feb 23, 2020",8:30p,New Orleans Pelicans,115,Golden State Warriors,101,"18,064"
"Sun, Feb 23, 2020",9:00p,Detroit Pistons,104,Portland Trail Blazers,107,"19,393"
"Mon, Feb 24, 2020",7:00p,Miami Heat,119,Cleveland Cavaliers,125,"17,336"
"Mon, Feb 24, 2020",7:00p,Atlanta Hawks,112,Philadelphia 76ers,129,"20,836"
"Mon, Feb 24, 2020",7:00p,Milwaukee Bucks,137,Washington Wizards,134,"16,580"
"Mon, Feb 24, 2020",7:30p,Orlando Magic,115,Brooklyn Nets,113,"16,162"
"Mon, Feb 24, 2020",8:00p,New York Knicks,112,Houston Rockets,123,"18,055"
"Mon, Feb 24, 2020",8:30p,Minnesota Timberwolves,123,Dallas Mavericks,139,"19,936"
"Mon, Feb 24, 2020",9:00p,Phoenix Suns,131,Utah Jazz,111,"18,306"
"Mon, Feb 24, 2020",10:30p,Memphis Grizzlies,97,Los Angeles Clippers,124,"19,068"
"Tue, Feb 25, 2020",7:00p,Charlotte Hornets,80,Indiana Pacers,119,"16,088"
"Tue, Feb 25, 2020",7:30p,Milwaukee Bucks,108,Toronto Raptors,97,"19,993"
"Tue, Feb 25, 2020",8:00p,Oklahoma City Thunder,124,Chicago Bulls,122,"16,911"
"Tue, Feb 25, 2020",9:00p,Detroit Pistons,98,Denver Nuggets,115,"19,143"
"Tue, Feb 25, 2020",10:00p,New Orleans Pelicans,109,Los Angeles Lakers,118,"18,997"
"Tue, Feb 25, 2020",10:00p,Boston Celtics,118,Portland Trail Blazers,106,"19,460"
"Tue, Feb 25, 2020",10:30p,Sacramento Kings,112,Golden State Warriors,94,"18,064"
"Wed, Feb 26, 2020",7:00p,New York Knicks,101,Charlotte Hornets,107,"13,152"
"Wed, Feb 26, 2020",7:00p,Philadelphia 76ers,94,Cleveland Cavaliers,108,"16,332"
"Wed, Feb 26, 2020",7:00p,Brooklyn Nets,106,Washington Wizards,110,"15,021"
"Wed, Feb 26, 2020",7:30p,Orlando Magic,130,Atlanta Hawks,120,"14,967"
"Wed, Feb 26, 2020",7:30p,Minnesota Timberwolves,129,Miami Heat,126,"19,600"
"Wed, Feb 26, 2020",8:00p,Memphis Grizzlies,112,Houston Rockets,140,"18,055"
"Wed, Feb 26, 2020",8:30p,Dallas Mavericks,109,San Antonio Spurs,103,"18,354"
"Wed, Feb 26, 2020",9:00p,Los Angeles Clippers,102,Phoenix Suns,92,"15,157"
"Wed, Feb 26, 2020",10:30p,Boston Celtics,114,Utah Jazz,103,"18,306"
"Thu, Feb 27, 2020",7:00p,New York Knicks,106,Philadelphia 76ers,115,"20,175"
"Thu, Feb 27, 2020",8:00p,Portland Trail Blazers,100,Indiana Pacers,106,"16,872"
"Thu, Feb 27, 2020",8:00p,Sacramento Kings,108,Oklahoma City Thunder,112,"18,203"
"Thu, Feb 27, 2020",10:30p,Los Angeles Lakers,116,Golden State Warriors,86,"18,064"
"Fri, Feb 28, 2020",7:00p,Minnesota Timberwolves,125,Orlando Magic,136,"18,846"
"Fri, Feb 28, 2020",7:30p,Brooklyn Nets,118,Atlanta Hawks,141,"17,034"
"Fri, Feb 28, 2020",7:30p,Charlotte Hornets,99,Toronto Raptors,96,"19,800"
"Fri, Feb 28, 2020",8:00p,Sacramento Kings,104,Memphis Grizzlies,101,"17,794"
"Fri, Feb 28, 2020",8:00p,Dallas Mavericks,118,Miami Heat,126,"19,704"
"Fri, Feb 28, 2020",8:00p,Oklahoma City Thunder,86,Milwaukee Bucks,133,"18,412"
"Fri, Feb 28, 2020",8:00p,Cleveland Cavaliers,104,New Orleans Pelicans,116,"18,304"
"Fri, Feb 28, 2020",9:00p,Detroit Pistons,113,Phoenix Suns,111,"17,142"
"Fri, Feb 28, 2020",9:00p,Washington Wizards,119,Utah Jazz,129,"18,306"
"Fri, Feb 28, 2020",10:30p,Denver Nuggets,103,Los Angeles Clippers,132,"19,068"
"Sat, Feb 29, 2020",5:00p,Chicago Bulls,115,New York Knicks,125,"19,812"
"Sat, Feb 29, 2020",7:30p,Portland Trail Blazers,117,Atlanta Hawks,129,"17,765"
"Sat, Feb 29, 2020",7:30p,Brooklyn Nets,113,Miami Heat,116,"19,600"
"Sat, Feb 29, 2020",8:00p,Indiana Pacers,113,Cleveland Cavaliers,104,"19,432"
"Sat, Feb 29, 2020",8:00p,Los Angeles Lakers,88,Memphis Grizzlies,105,"17,794"
"Sat, Feb 29, 2020",8:30p,Houston Rockets,111,Boston Celtics,110,"19,156"
"Sat, Feb 29, 2020",8:30p,Orlando Magic,113,San Antonio Spurs,114,"18,354"
"Sat, Feb 29, 2020",9:00p,Golden State Warriors,115,Phoenix Suns,99,"16,395"
